epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,2171.38,1.49452,1.19916,1.08264,0.46345,0.3503,0.35339,0.20988,1.45269,1.16935,1.06077,0.02236,0.02236,0.02236
100,2192.21,1.49637,1.19395,1.08083,0.4624,0.34896,0.35447,0.21083,1.45268,1.17116,1.06063,0.02218,0.02218,0.02218
101,2211.44,1.48401,1.17911,1.07715,0.45132,0.35038,0.35269,0.20968,1.45335,1.16968,1.06014,0.022,0.022,0.022
102,2230.31,1.49123,1.19857,1.07534,0.44553,0.35493,0.35385,0.20992,1.45253,1.16785,1.05937,0.02182,0.02182,0.02182
103,2249.26,1.50301,1.19831,1.07898,0.45529,0.35429,0.35461,0.21062,1.45044,1.16527,1.05884,0.02164,0.02164,0.02164
104,2267.78,1.48772,1.18929,1.07602,0.45951,0.35156,0.35516,0.21099,1.4512,1.16523,1.05847,0.02146,0.02146,0.02146
105,2287,1.50538,1.1986,1.0717,0.45805,0.35338,0.35514,0.21029,1.44932,1.16438,1.05754,0.02128,0.02128,0.02128
106,2310,1.49045,1.18314,1.07923,0.45998,0.35282,0.35531,0.21116,1.44915,1.16466,1.05724,0.0211,0.0211,0.0211
107,2328.97,1.49943,1.19349,1.07365,0.45772,0.35456,0.357,0.21201,1.44926,1.16337,1.05743,0.02092,0.02092,0.02092
108,2348.89,1.51099,1.19552,1.07632,0.4657,0.35058,0.35631,0.21176,1.44995,1.16345,1.05715,0.02074,0.02074,0.02074
109,2368.08,1.45391,1.15552,1.06643,0.46428,0.35057,0.35735,0.21211,1.4475,1.16199,1.05625,0.02056,0.02056,0.02056
110,2386.77,1.48615,1.17723,1.07812,0.46977,0.34948,0.35803,0.21244,1.44695,1.16026,1.05566,0.02038,0.02038,0.02038
111,2408.97,1.47584,1.16804,1.06674,0.45704,0.35281,0.35887,0.21263,1.44563,1.15865,1.05518,0.0202,0.0202,0.0202
112,2428.29,1.47232,1.17517,1.06261,0.46168,0.35417,0.35967,0.21319,1.4461,1.15731,1.05503,0.02002,0.02002,0.02002
113,2447.54,1.49445,1.18708,1.07348,0.46503,0.35388,0.35964,0.2141,1.44569,1.15597,1.05429,0.01984,0.01984,0.01984
114,2466.83,1.48476,1.17705,1.07528,0.45973,0.35467,0.35836,0.21366,1.44782,1.15786,1.0553,0.01966,0.01966,0.01966
115,2487.91,1.47536,1.16917,1.07349,0.46016,0.35565,0.35985,0.21432,1.44672,1.15712,1.05551,0.01948,0.01948,0.01948
116,2507.52,1.45595,1.15471,1.06088,0.46656,0.35509,0.36045,0.21446,1.44734,1.15766,1.05527,0.0193,0.0193,0.0193
117,2528.9,1.48165,1.16466,1.06979,0.46277,0.3565,0.36146,0.21463,1.44574,1.15639,1.0551,0.01912,0.01912,0.01912
118,2552.06,1.48256,1.17401,1.06773,0.46493,0.35519,0.36057,0.21452,1.44584,1.1564,1.05525,0.01894,0.01894,0.01894
119,2570.98,1.47679,1.17463,1.06921,0.46276,0.35709,0.36047,0.21452,1.44509,1.1549,1.05419,0.01876,0.01876,0.01876
120,2590.93,1.48328,1.17099,1.07085,0.46023,0.35763,0.35916,0.21378,1.44409,1.15427,1.05336,0.01858,0.01858,0.01858
121,2609.91,1.46979,1.15782,1.06725,0.46388,0.35823,0.36029,0.21438,1.44297,1.15358,1.05311,0.0184,0.0184,0.0184
122,2628.79,1.46203,1.153,1.07435,0.46331,0.35704,0.36042,0.21462,1.44355,1.15333,1.05292,0.01822,0.01822,0.01822
123,2647.6,1.47473,1.16481,1.06387,0.46352,0.3563,0.36012,0.21431,1.44352,1.15331,1.05281,0.01804,0.01804,0.01804
124,2666.99,1.48415,1.18389,1.06609,0.46288,0.35756,0.36043,0.21464,1.44274,1.15215,1.05271,0.01786,0.01786,0.01786
125,2685.46,1.48402,1.16925,1.06737,0.4575,0.36051,0.36171,0.2149,1.44291,1.15127,1.05273,0.01768,0.01768,0.01768
126,2704.17,1.47128,1.15902,1.06506,0.45979,0.35996,0.36207,0.21576,1.44278,1.14959,1.05234,0.0175,0.0175,0.0175
127,2723.1,1.46946,1.16003,1.05825,0.46327,0.35686,0.36159,0.21565,1.44254,1.14963,1.05246,0.01732,0.01732,0.01732
128,2742.15,1.49049,1.17791,1.06656,0.46356,0.35766,0.36228,0.21578,1.44247,1.14905,1.05233,0.01714,0.01714,0.01714
129,2761.23,1.46921,1.1494,1.06658,0.46171,0.35894,0.3621,0.21583,1.44229,1.14895,1.0521,0.01696,0.01696,0.01696
130,2781.61,1.46908,1.14584,1.06244,0.45972,0.35963,0.36244,0.21589,1.44174,1.14826,1.05206,0.01678,0.01678,0.01678
131,2801.2,1.46963,1.14667,1.06464,0.4626,0.35874,0.36284,0.21608,1.44128,1.14831,1.05186,0.0166,0.0166,0.0166
132,2819.84,1.45679,1.13906,1.06094,0.46353,0.35778,0.36283,0.2163,1.44137,1.14821,1.05149,0.01642,0.01642,0.01642
133,2838.75,1.47368,1.15573,1.0673,0.46307,0.35744,0.36328,0.21623,1.44173,1.14802,1.05161,0.01624,0.01624,0.01624
134,2860.16,1.46826,1.15705,1.06374,0.46461,0.35759,0.36339,0.21633,1.4408,1.14702,1.05091,0.01606,0.01606,0.01606
135,2879.64,1.47115,1.14276,1.06279,0.46587,0.36143,0.36378,0.21672,1.4405,1.14675,1.05076,0.01588,0.01588,0.01588
136,2900.62,1.47339,1.14795,1.06009,0.46697,0.36299,0.36473,0.21696,1.44081,1.14612,1.05061,0.0157,0.0157,0.0157
137,2919.36,1.46897,1.15154,1.06109,0.46411,0.36238,0.36526,0.21716,1.43993,1.14536,1.05029,0.01552,0.01552,0.01552
138,2938.32,1.44993,1.13549,1.05607,0.46354,0.36135,0.36467,0.21686,1.44012,1.14496,1.05023,0.01534,0.01534,0.01534
139,2957.62,1.45845,1.1448,1.0558,0.46135,0.36252,0.36511,0.21737,1.44066,1.1448,1.05017,0.01516,0.01516,0.01516
140,2976.93,1.47606,1.15099,1.06684,0.45948,0.36346,0.36525,0.21749,1.43992,1.14402,1.04985,0.01498,0.01498,0.01498
141,2995.93,1.44868,1.12602,1.05696,0.45947,0.36048,0.36469,0.21772,1.44003,1.14404,1.0498,0.0148,0.0148,0.0148
142,3014.85,1.44841,1.13036,1.05864,0.46186,0.36029,0.36509,0.21795,1.43975,1.14366,1.04982,0.01462,0.01462,0.01462
143,3036.76,1.46125,1.14038,1.05942,0.46457,0.35864,0.36533,0.21807,1.43942,1.14244,1.04952,0.01444,0.01444,0.01444
144,3056.74,1.4514,1.12372,1.05179,0.46302,0.35941,0.36534,0.21798,1.43914,1.14223,1.04946,0.01426,0.01426,0.01426
145,3075.77,1.43871,1.1231,1.04962,0.46538,0.3585,0.36556,0.21803,1.43862,1.14204,1.04907,0.01408,0.01408,0.01408
146,3096.01,1.43019,1.11927,1.05025,0.46405,0.35866,0.36569,0.2182,1.43863,1.14202,1.04902,0.0139,0.0139,0.0139
147,3117.3,1.45008,1.12218,1.04629,0.46697,0.3582,0.36555,0.21827,1.43841,1.14185,1.04886,0.01372,0.01372,0.01372
148,3136.81,1.45839,1.13754,1.05445,0.46537,0.35882,0.36572,0.21854,1.43782,1.14156,1.04861,0.01354,0.01354,0.01354
149,3155.84,1.44232,1.12155,1.05072,0.4677,0.35942,0.36574,0.21827,1.43728,1.1414,1.04846,0.01336,0.01336,0.01336
150,3175.69,1.43912,1.11494,1.05145,0.46871,0.35904,0.36545,0.21868,1.43693,1.14071,1.04817,0.01318,0.01318,0.01318
151,3195.73,1.45515,1.12325,1.05592,0.47173,0.35833,0.36566,0.21872,1.43674,1.14052,1.04817,0.013,0.013,0.013
152,3215.75,1.43337,1.10722,1.04266,0.46984,0.35876,0.36601,0.21893,1.43639,1.1403,1.04814,0.01282,0.01282,0.01282
153,3235.45,1.44947,1.12568,1.05141,0.46971,0.35919,0.36643,0.21918,1.43578,1.13989,1.048,0.01264,0.01264,0.01264
154,3253.99,1.45142,1.115,1.04798,0.47309,0.35797,0.3669,0.21938,1.43595,1.13951,1.04797,0.01246,0.01246,0.01246
155,3272.99,1.43079,1.10624,1.04533,0.47476,0.35771,0.36704,0.21942,1.43589,1.13957,1.04799,0.01228,0.01228,0.01228
156,3291.98,1.45095,1.11501,1.0465,0.47476,0.35772,0.36675,0.2194,1.4356,1.13926,1.04784,0.0121,0.0121,0.0121
157,3310.81,1.41465,1.09323,1.04654,0.47432,0.35834,0.36722,0.21977,1.43546,1.13895,1.04774,0.01192,0.01192,0.01192
158,3329.77,1.4282,1.09697,1.04925,0.47729,0.35641,0.36709,0.21974,1.43509,1.13867,1.04759,0.01174,0.01174,0.01174
159,3348.61,1.43665,1.08726,1.04085,0.47608,0.35742,0.36724,0.21997,1.43545,1.13833,1.04759,0.01156,0.01156,0.01156
160,3367.32,1.42414,1.08326,1.04809,0.47872,0.35682,0.36752,0.22028,1.43529,1.13793,1.04747,0.01138,0.01138,0.01138
161,3386.32,1.4305,1.10169,1.04708,0.47738,0.35745,0.3676,0.22038,1.43531,1.1376,1.04747,0.0112,0.0112,0.0112
162,3404.95,1.43325,1.09818,1.04348,0.47854,0.35797,0.36773,0.22051,1.43459,1.1371,1.04723,0.01102,0.01102,0.01102
163,3423.41,1.43159,1.09797,1.04718,0.4815,0.35661,0.36764,0.22077,1.43445,1.13686,1.04709,0.01084,0.01084,0.01084
164,3442.52,1.43214,1.09625,1.04531,0.48283,0.35651,0.36805,0.22081,1.43403,1.13687,1.04684,0.01066,0.01066,0.01066
165,3461.97,1.43962,1.09957,1.04582,0.48427,0.35609,0.3685,0.22102,1.43408,1.13666,1.04687,0.01048,0.01048,0.01048
166,3480.99,1.42586,1.09136,1.04655,0.48363,0.35618,0.36848,0.22109,1.4338,1.13653,1.0468,0.0103,0.0103,0.0103
167,3499.42,1.43102,1.10276,1.04012,0.48523,0.35626,0.36878,0.22125,1.43385,1.13618,1.04683,0.01012,0.01012,0.01012
168,3518.58,1.44159,1.10945,1.05073,0.48345,0.35651,0.36886,0.22127,1.43383,1.13586,1.04668,0.00994,0.00994,0.00994
169,3537.76,1.43164,1.09404,1.04174,0.48571,0.35585,0.36863,0.22098,1.43339,1.13554,1.04646,0.00976,0.00976,0.00976
170,3557.42,1.40256,1.0831,1.04008,0.48424,0.35714,0.36893,0.22112,1.43306,1.13527,1.04641,0.00958,0.00958,0.00958
171,3576.67,1.41276,1.07212,1.03657,0.48507,0.35669,0.36875,0.22114,1.43297,1.13499,1.04628,0.0094,0.0094,0.0094
172,3595.96,1.41741,1.0859,1.04407,0.48483,0.35598,0.36878,0.22118,1.43292,1.13473,1.04628,0.00922,0.00922,0.00922
173,3614.98,1.42829,1.0848,1.03633,0.48532,0.3556,0.36886,0.22138,1.43281,1.13461,1.04621,0.00904,0.00904,0.00904
174,3634.2,1.41286,1.06421,1.03115,0.48626,0.35581,0.36883,0.2212,1.43304,1.13448,1.04626,0.00886,0.00886,0.00886
175,3654.11,1.40082,1.06656,1.03871,0.4852,0.35613,0.3694,0.22169,1.43301,1.13388,1.04612,0.00868,0.00868,0.00868
176,3672.91,1.41695,1.07741,1.03629,0.48341,0.35681,0.36923,0.2216,1.43312,1.13395,1.04608,0.0085,0.0085,0.0085
