epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1381.18,1.50607,1.225,1.08815,0.44057,0.35023,0.3497,0.20618,1.4435,1.16988,1.06263,0.0283,0.0283,0.0283
67,1398.76,1.50749,1.23784,1.08921,0.44951,0.35061,0.35157,0.20608,1.44541,1.17782,1.06396,0.02812,0.02812,0.02812
68,1416.77,1.488,1.21122,1.08364,0.4407,0.35248,0.35262,0.20661,1.44227,1.16843,1.06195,0.02794,0.02794,0.02794
69,1435.2,1.49226,1.22506,1.08256,0.43672,0.35271,0.3496,0.20514,1.44138,1.167,1.06075,0.02776,0.02776,0.02776
70,1452.69,1.5079,1.231,1.09731,0.44639,0.34718,0.3507,0.20681,1.44297,1.16717,1.06118,0.02758,0.02758,0.02758
71,1471.75,1.50407,1.22988,1.08531,0.45366,0.34876,0.35347,0.2071,1.44202,1.16578,1.06246,0.0274,0.0274,0.0274
72,1489.08,1.4887,1.21814,1.08399,0.45429,0.35337,0.35483,0.20854,1.43645,1.15836,1.06037,0.02722,0.02722,0.02722
73,1506.63,1.51814,1.23484,1.09035,0.44629,0.35398,0.35479,0.20847,1.43591,1.15948,1.05735,0.02704,0.02704,0.02704
74,1524.34,1.47829,1.19988,1.07976,0.44291,0.35801,0.35585,0.21026,1.43345,1.15719,1.05799,0.02686,0.02686,0.02686
75,1542.19,1.5025,1.22019,1.08228,0.4393,0.35735,0.35478,0.20977,1.43244,1.1564,1.05661,0.02668,0.02668,0.02668
76,1559.59,1.48109,1.20482,1.07346,0.44985,0.35726,0.3536,0.20901,1.43221,1.15519,1.05532,0.0265,0.0265,0.0265
77,1578.26,1.50382,1.21522,1.07993,0.44703,0.35206,0.35426,0.20936,1.43109,1.15429,1.05641,0.02632,0.02632,0.02632
78,1595.97,1.4979,1.2396,1.08126,0.4443,0.35997,0.35719,0.21095,1.43122,1.15136,1.05598,0.02614,0.02614,0.02614
79,1613.66,1.4918,1.20968,1.08392,0.44402,0.35935,0.35602,0.21011,1.42937,1.15374,1.05408,0.02596,0.02596,0.02596
80,1631.51,1.48169,1.2103,1.07828,0.44915,0.35592,0.3571,0.21227,1.42716,1.15084,1.05322,0.02578,0.02578,0.02578
81,1649.04,1.50457,1.22038,1.08312,0.45793,0.35492,0.35929,0.21249,1.42894,1.15017,1.05316,0.0256,0.0256,0.0256
82,1666.48,1.50008,1.21046,1.07831,0.44798,0.35524,0.35808,0.21207,1.42613,1.15032,1.05266,0.02542,0.02542,0.02542
83,1685.62,1.47964,1.20207,1.07605,0.45211,0.3596,0.36011,0.21218,1.42564,1.14683,1.05244,0.02524,0.02524,0.02524
84,1703.76,1.48458,1.20318,1.07463,0.45581,0.3588,0.35976,0.21211,1.42479,1.14634,1.05248,0.02506,0.02506,0.02506
85,1721.75,1.4916,1.20894,1.07715,0.4572,0.36018,0.36176,0.21418,1.42542,1.14828,1.05275,0.02488,0.02488,0.02488
86,1741.36,1.48104,1.2084,1.07783,0.4573,0.36261,0.36338,0.21536,1.42246,1.14306,1.05117,0.0247,0.0247,0.0247
87,1759.84,1.48231,1.19718,1.07742,0.46124,0.35943,0.36253,0.21466,1.42303,1.1443,1.05091,0.02452,0.02452,0.02452
88,1777.37,1.47481,1.19518,1.07264,0.48055,0.34899,0.36192,0.21426,1.42244,1.13881,1.04961,0.02434,0.02434,0.02434
89,1796.43,1.49229,1.21007,1.0784,0.46088,0.35483,0.36449,0.21651,1.4193,1.13748,1.05003,0.02416,0.02416,0.02416
90,1814.37,1.49275,1.21347,1.08054,0.46215,0.36109,0.36273,0.2155,1.42048,1.13863,1.04978,0.02398,0.02398,0.02398
91,1831.89,1.47878,1.19253,1.075,0.45258,0.36176,0.36452,0.21643,1.41774,1.13395,1.04881,0.0238,0.0238,0.0238
92,1851.94,1.45987,1.17411,1.06862,0.45735,0.3623,0.36629,0.21776,1.41732,1.13498,1.04912,0.02362,0.02362,0.02362
93,1869.59,1.4953,1.20734,1.07566,0.45736,0.36437,0.36734,0.21857,1.41734,1.13526,1.04712,0.02344,0.02344,0.02344
94,1889.15,1.47347,1.19102,1.07145,0.44964,0.36628,0.36658,0.21842,1.41648,1.13435,1.04698,0.02326,0.02326,0.02326
95,1906.57,1.46832,1.17843,1.07031,0.46,0.36289,0.36621,0.2181,1.4158,1.13395,1.0481,0.02308,0.02308,0.02308
96,1928.13,1.47352,1.18828,1.07058,0.4598,0.36402,0.36717,0.21886,1.41418,1.13071,1.04652,0.0229,0.0229,0.0229
97,1945.99,1.48339,1.1905,1.07578,0.46417,0.36272,0.36844,0.21922,1.41593,1.13032,1.04725,0.02272,0.02272,0.02272
98,1963.7,1.48996,1.20468,1.07832,0.46129,0.36422,0.36744,0.21916,1.41677,1.13153,1.04712,0.02254,0.02254,0.02254
99,1981.43,1.46874,1.18384,1.0723,0.45879,0.36959,0.36957,0.21988,1.41279,1.1291,1.04594,0.02236,0.02236,0.02236
100,1999.13,1.46793,1.1816,1.0684,0.45875,0.37019,0.36877,0.2195,1.41406,1.13063,1.04583,0.02218,0.02218,0.02218
101,2017.04,1.4609,1.1691,1.06701,0.46024,0.36988,0.3706,0.22074,1.41269,1.12674,1.04449,0.022,0.022,0.022
102,2037.63,1.46477,1.18128,1.06585,0.4604,0.3738,0.37123,0.22088,1.41175,1.12693,1.04446,0.02182,0.02182,0.02182
103,2055.35,1.48246,1.18564,1.0709,0.46316,0.37114,0.37391,0.22231,1.40989,1.12464,1.04427,0.02164,0.02164,0.02164
104,2076.77,1.46598,1.17904,1.06759,0.46624,0.36816,0.3719,0.22138,1.41053,1.12539,1.04444,0.02146,0.02146,0.02146
105,2094.05,1.47975,1.18534,1.06362,0.46948,0.37022,0.37359,0.22293,1.40971,1.12452,1.04432,0.02128,0.02128,0.02128
106,2111.62,1.46672,1.17515,1.0699,0.47251,0.36762,0.37415,0.2236,1.40996,1.12346,1.04488,0.0211,0.0211,0.0211
107,2128.76,1.47266,1.18337,1.06426,0.47111,0.36789,0.37404,0.22299,1.40901,1.12118,1.04489,0.02092,0.02092,0.02092
108,2146.07,1.48915,1.18433,1.06772,0.47234,0.36841,0.37482,0.22359,1.40864,1.12067,1.04426,0.02074,0.02074,0.02074
109,2163.97,1.42997,1.14347,1.05734,0.47219,0.36933,0.37544,0.22453,1.40803,1.12024,1.04366,0.02056,0.02056,0.02056
110,2182.66,1.4643,1.16366,1.06993,0.47652,0.36749,0.37524,0.22411,1.40817,1.12024,1.04284,0.02038,0.02038,0.02038
111,2200.52,1.45528,1.15601,1.05965,0.47127,0.36541,0.3747,0.22371,1.4065,1.11954,1.04197,0.0202,0.0202,0.0202
112,2218.46,1.44607,1.16507,1.05484,0.47072,0.36814,0.37603,0.22463,1.4062,1.11816,1.04119,0.02002,0.02002,0.02002
113,2236.67,1.47355,1.17837,1.06662,0.4748,0.36585,0.37575,0.22496,1.40625,1.11744,1.04157,0.01984,0.01984,0.01984
114,2258.34,1.4597,1.16766,1.06599,0.47764,0.36756,0.37641,0.22468,1.40612,1.1176,1.04162,0.01966,0.01966,0.01966
115,2277.08,1.45024,1.1593,1.06327,0.47419,0.36718,0.37568,0.22452,1.40568,1.11734,1.0412,0.01948,0.01948,0.01948
116,2294.64,1.43571,1.14819,1.0537,0.46897,0.37239,0.37608,0.2245,1.40546,1.117,1.04058,0.0193,0.0193,0.0193
117,3424.17,1.46626,1.15118,1.06491,0.47046,0.37299,0.37775,0.22528,1.4049,1.11682,1.04064,0.01912,0.01912,0.01912
118,3442.5,1.45706,1.16286,1.05861,0.46834,0.37259,0.3771,0.22561,1.4044,1.11628,1.04031,0.01894,0.01894,0.01894
