                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5188,                 1.4032,                 1.3995,                0.60216,                 0.3169,                0.32756,                0.18455,                 1.5477,                 1.4443,                 1.3236,               0.007975,               0.007975,               0.007975
                     47,                 1.5035,                 1.3597,                 1.3664,                0.55875,                0.30347,                 0.3094,                 0.1775,                 1.5594,                 1.5688,                 1.3221,                0.00793,                0.00793,                0.00793
                     48,                 1.4949,                 1.3436,                 1.3645,                0.50619,                0.31612,                0.32636,                0.18393,                 1.5662,                 1.4439,                 1.3126,               0.007885,               0.007885,               0.007885
                     49,                 1.4852,                 1.3307,                 1.3696,                0.52776,                0.32629,                0.33131,                0.18925,                 1.5329,                 1.4399,                 1.3013,                0.00784,                0.00784,                0.00784
                     50,                 1.5231,                 1.3595,                 1.3696,                0.52967,                0.31176,                0.32993,                0.18705,                  1.569,                  1.448,                 1.3063,               0.007795,               0.007795,               0.007795
                     51,                 1.4904,                  1.289,                 1.3508,                0.54295,                0.32909,                 0.3391,                0.19254,                 1.5465,                 1.4211,                 1.2965,                0.00775,                0.00775,                0.00775
                     52,                 1.5221,                 1.3521,                 1.3736,                0.59745,                0.32109,                0.33059,                0.18965,                 1.5736,                 1.4591,                 1.3005,               0.007705,               0.007705,               0.007705
                     53,                 1.5122,                 1.3166,                 1.3512,                0.59669,                0.32136,                0.33364,                0.18916,                 1.5716,                 1.4417,                 1.3031,                0.00766,                0.00766,                0.00766
                     54,                  1.519,                 1.3138,                  1.358,                0.57772,                0.31189,                0.33143,                0.18566,                 1.6001,                 1.4722,                 1.3143,               0.007615,               0.007615,               0.007615
                     55,                 1.4871,                 1.2954,                 1.3477,                0.54096,                0.32342,                0.34321,                0.19244,                 1.5771,                  1.414,                 1.2958,                0.00757,                0.00757,                0.00757
                     56,                 1.4997,                 1.2858,                 1.3416,                0.54381,                0.32023,                0.34311,                 0.1931,                 1.5891,                 1.4209,                 1.2902,               0.007525,               0.007525,               0.007525
                     57,                 1.5175,                 1.2964,                 1.3466,                0.61845,                0.31434,                0.33413,                0.19011,                  1.593,                 1.4669,                 1.2985,                0.00748,                0.00748,                0.00748
                     58,                 1.5136,                 1.2794,                   1.33,                0.63057,                0.32239,                0.34465,                0.19648,                 1.5567,                 1.4517,                   1.29,               0.007435,               0.007435,               0.007435
                     59,                 1.5518,                 1.3087,                 1.3404,                0.53819,                0.32733,                0.33932,                0.19389,                 1.5769,                 1.4419,                  1.287,                0.00739,                0.00739,                0.00739
                     60,                 1.5059,                 1.2796,                 1.3355,                0.59599,                0.32207,                0.33744,                0.18868,                 1.5954,                 1.4323,                 1.2923,               0.007345,               0.007345,               0.007345
                     61,                   1.54,                 1.2979,                 1.3464,                0.54617,                0.32356,                0.33613,                0.19013,                 1.6097,                 1.4192,                 1.2946,                 0.0073,                 0.0073,                 0.0073
                     62,                 1.5006,                 1.2355,                 1.3253,                0.63461,                 0.3265,                0.35063,                0.20208,                 1.5683,                 1.4062,                 1.2769,               0.007255,               0.007255,               0.007255
                     63,                 1.5229,                 1.2517,                 1.3207,                0.56776,                0.32866,                0.35371,                0.20225,                 1.5772,                  1.443,                 1.2795,                0.00721,                0.00721,                0.00721
                     64,                  1.503,                 1.2586,                 1.3126,                0.55781,                0.34006,                0.35633,                0.20416,                 1.5468,                 1.3658,                  1.273,               0.007165,               0.007165,               0.007165
                     65,                 1.5106,                 1.2336,                  1.313,                0.57886,                0.33216,                0.36072,                 0.2076,                 1.5759,                 1.3868,                 1.2725,                0.00712,                0.00712,                0.00712
                     66,                 1.4846,                 1.2042,                  1.295,                0.61764,                0.33735,                0.35754,                0.20872,                 1.5666,                 1.3629,                 1.2674,               0.007075,               0.007075,               0.007075
                     67,                 1.5035,                 1.2369,                 1.3166,                0.62208,                0.34573,                 0.3666,                0.21328,                 1.5714,                 1.3556,                 1.2691,                0.00703,                0.00703,                0.00703
                     68,                 1.4977,                  1.195,                    1.3,                0.59714,                0.34926,                0.35904,                0.20745,                 1.5897,                  1.378,                 1.2736,               0.006985,               0.006985,               0.006985
                     69,                 1.5221,                 1.2099,                 1.2985,                0.65208,                0.34453,                0.36653,                0.21245,                 1.5673,                 1.3196,                 1.2634,                0.00694,                0.00694,                0.00694
                     70,                 1.5203,                 1.2043,                 1.2857,                0.56102,                0.35384,                0.36704,                0.21303,                 1.5682,                 1.3415,                 1.2593,               0.006895,               0.006895,               0.006895
                     71,                 1.5381,                 1.2111,                 1.2904,                0.62788,                0.35142,                0.36457,                0.21359,                 1.5569,                 1.3667,                 1.2573,                0.00685,                0.00685,                0.00685
                     72,                 1.4961,                 1.1893,                 1.2902,                0.67133,                0.33594,                0.36479,                0.21243,                 1.5786,                 1.3858,                 1.2671,               0.006805,               0.006805,               0.006805
                     73,                 1.4975,                 1.1758,                 1.2904,                0.54184,                0.36161,                0.36703,                0.21487,                 1.5544,                 1.3337,                 1.2536,                0.00676,                0.00676,                0.00676
                     74,                 1.5133,                 1.2073,                  1.296,                0.59139,                0.35484,                0.37874,                0.22033,                 1.5514,                 1.3143,                 1.2575,               0.006715,               0.006715,               0.006715
                     75,                 1.4978,                 1.1864,                 1.2941,                0.58719,                 0.3489,                0.37396,                0.21518,                 1.5958,                 1.3272,                 1.2619,                0.00667,                0.00667,                0.00667
                     76,                 1.5362,                 1.1966,                 1.2818,                0.56386,                0.34821,                0.36405,                0.21113,                 1.5936,                 1.3573,                 1.2582,               0.006625,               0.006625,               0.006625
                     77,                 1.5101,                 1.1871,                 1.2869,                0.58644,                0.35619,                0.38177,                 0.2203,                 1.5766,                 1.2975,                 1.2487,                0.00658,                0.00658,                0.00658
                     78,                  1.512,                 1.1659,                 1.2901,                0.57174,                0.35243,                 0.3741,                  0.217,                 1.6211,                 1.3374,                   1.26,               0.006535,               0.006535,               0.006535
                     79,                  1.484,                 1.1459,                 1.2669,                0.56766,                0.36025,                0.37504,                0.21727,                 1.5682,                 1.3184,                 1.2482,                0.00649,                0.00649,                0.00649
                     80,                 1.5106,                 1.1664,                 1.2913,                0.58915,                0.35165,                0.37507,                0.22053,                 1.5923,                 1.3195,                 1.2576,               0.006445,               0.006445,               0.006445
                     81,                 1.5208,                 1.1708,                 1.2891,                 0.5394,                0.35727,                0.37147,                0.21529,                 1.6074,                 1.3279,                 1.2534,                 0.0064,                 0.0064,                 0.0064
                     82,                 1.5087,                 1.1535,                 1.2801,                0.55827,                0.36696,                0.38575,                0.22492,                 1.5919,                 1.3234,                 1.2542,               0.006355,               0.006355,               0.006355
                     83,                 1.5142,                 1.1514,                 1.2716,                0.58615,                0.36559,                0.38332,                0.22272,                 1.5944,                 1.3215,                 1.2494,                0.00631,                0.00631,                0.00631
                     84,                 1.5191,                 1.1717,                 1.2767,                0.57184,                0.36851,                0.38216,                0.22422,                 1.5691,                 1.3333,                 1.2437,               0.006265,               0.006265,               0.006265
                     85,                 1.4951,                 1.1354,                  1.274,                0.57576,                0.36953,                0.38852,                0.22405,                  1.591,                 1.2766,                 1.2444,                0.00622,                0.00622,                0.00622
                     86,                 1.4872,                 1.1227,                 1.2658,                0.64581,                  0.372,                 0.3899,                0.23005,                 1.5757,                 1.2898,                 1.2373,               0.006175,               0.006175,               0.006175
                     87,                 1.4894,                 1.1364,                 1.2658,                0.57324,                0.36586,                0.38335,                 0.2259,                 1.5679,                 1.2944,                 1.2405,                0.00613,                0.00613,                0.00613
                     88,                 1.4862,                 1.1357,                 1.2682,                0.64216,                0.36146,                0.38663,                0.22697,                 1.5821,                 1.2781,                 1.2445,               0.006085,               0.006085,               0.006085
                     89,                 1.4889,                 1.1331,                  1.263,                0.58353,                0.36834,                 0.3904,                 0.2286,                 1.5935,                  1.288,                 1.2453,                0.00604,                0.00604,                0.00604
                     90,                 1.4948,                 1.0994,                 1.2504,                0.64907,                0.36622,                0.39239,                0.22978,                 1.5756,                 1.2827,                 1.2351,               0.005995,               0.005995,               0.005995
                     91,                 1.4632,                 1.0773,                 1.2533,                0.64808,                0.36318,                0.39266,                0.22975,                 1.6149,                 1.3137,                 1.2405,                0.00595,                0.00595,                0.00595
                     92,                 1.5032,                 1.0961,                 1.2491,                0.60729,                 0.3851,                 0.4019,                0.23403,                 1.5953,                 1.2471,                 1.2368,               0.005905,               0.005905,               0.005905
                     93,                 1.4653,                 1.0736,                  1.252,                0.58905,                0.38002,                0.39685,                0.23449,                 1.6042,                 1.2499,                 1.2334,                0.00586,                0.00586,                0.00586
                     94,                 1.4681,                 1.0733,                   1.25,                0.58782,                0.38008,                0.39322,                0.23024,                 1.5989,                 1.2436,                 1.2398,               0.005815,               0.005815,               0.005815
                     95,                 1.4969,                 1.1095,                 1.2626,                0.60891,                0.37654,                0.39489,                0.23286,                 1.5803,                 1.2565,                 1.2356,                0.00577,                0.00577,                0.00577
                     96,                 1.4832,                 1.0929,                 1.2521,                0.62767,                0.36614,                0.39983,                0.23323,                 1.5975,                 1.2313,                 1.2357,               0.005725,               0.005725,               0.005725
                     97,                 1.5122,                 1.1038,                 1.2437,                0.62913,                0.37715,                0.39891,                0.23419,                 1.5999,                 1.2481,                 1.2374,                0.00568,                0.00568,                0.00568
                     98,                 1.4584,                 1.0709,                  1.244,                0.58515,                0.37523,                0.39731,                0.23474,                 1.5805,                 1.2463,                  1.224,               0.005635,               0.005635,               0.005635
                     99,                 1.5047,                 1.0943,                 1.2508,                0.58648,                0.38256,                0.40237,                0.23487,                 1.6145,                 1.2329,                 1.2341,                0.00559,                0.00559,                0.00559
                    100,                  1.481,                 1.0873,                 1.2485,                0.57314,                0.39077,                0.40481,                0.23823,                 1.5766,                 1.2376,                 1.2222,               0.005545,               0.005545,               0.005545
                    101,                 1.4755,                 1.0866,                 1.2564,                0.60172,                0.38026,                0.40042,                0.23619,                 1.5727,                 1.2705,                 1.2214,                 0.0055,                 0.0055,                 0.0055
                    102,                 1.4576,                 1.0607,                 1.2452,                0.69577,                0.36131,                 0.4032,                0.23911,                 1.5934,                 1.2423,                 1.2263,               0.005455,               0.005455,               0.005455
                    103,                 1.4954,                 1.0809,                 1.2393,                0.59266,                0.38034,                0.40113,                0.23872,                 1.6054,                 1.2399,                 1.2262,                0.00541,                0.00541,                0.00541
                    104,                 1.4497,                 1.0734,                 1.2399,                0.61502,                0.38959,                0.40889,                0.24139,                 1.5826,                 1.2142,                 1.2227,               0.005365,               0.005365,               0.005365
                    105,                 1.4688,                 1.0457,                  1.233,                0.64963,                0.37047,                0.40397,                0.23823,                 1.5789,                 1.2056,                 1.2226,                0.00532,                0.00532,                0.00532
                    106,                 1.4477,                 1.0477,                 1.2281,                0.60885,                0.37706,                0.39517,                0.23726,                 1.5584,                 1.2437,                  1.218,               0.005275,               0.005275,               0.005275
                    107,                  1.454,                 1.0485,                 1.2397,                0.64842,                0.37912,                0.40896,                0.24481,                 1.5517,                 1.2078,                 1.2201,                0.00523,                0.00523,                0.00523
                    108,                 1.4458,                 1.0375,                 1.2271,                0.61688,                0.39478,                0.41573,                0.24511,                 1.6051,                 1.2118,                 1.2264,               0.005185,               0.005185,               0.005185
                    109,                 1.4656,                  1.035,                 1.2193,                0.65849,                0.37354,                0.40529,                0.24134,                 1.5796,                 1.2425,                 1.2195,                0.00514,                0.00514,                0.00514
                    110,                 1.4537,                 1.0287,                 1.2235,                0.66777,                0.38153,                 0.4154,                0.24571,                 1.5889,                 1.2434,                 1.2176,               0.005095,               0.005095,               0.005095
                    111,                 1.4532,                 1.0405,                 1.2141,                0.62444,                0.39698,                0.41605,                0.24813,                 1.5816,                 1.2035,                 1.2168,                0.00505,                0.00505,                0.00505
                    112,                 1.4353,                 1.0345,                  1.237,                0.63579,                0.38297,                0.41163,                0.24661,                 1.5726,                 1.2042,                 1.2209,               0.005005,               0.005005,               0.005005
                    113,                 1.4531,                  1.022,                 1.2158,                 0.6314,                0.37967,                0.41044,                0.24407,                 1.5938,                 1.2319,                 1.2215,                0.00496,                0.00496,                0.00496
                    114,                 1.4358,                 1.0248,                 1.2149,                0.61989,                0.39355,                0.40818,                0.24393,                  1.569,                 1.2282,                 1.2142,               0.004915,               0.004915,               0.004915
                    115,                 1.4431,                 1.0271,                 1.2193,                0.60776,                0.39572,                0.41468,                0.24888,                 1.5793,                 1.2157,                 1.2174,                0.00487,                0.00487,                0.00487
                    116,                 1.4668,                 1.0193,                 1.2125,                0.59469,                0.39031,                0.41186,                0.24347,                 1.5938,                 1.2367,                 1.2197,               0.004825,               0.004825,               0.004825
                    117,                 1.4355,                 1.0183,                  1.217,                0.62312,                0.38957,                0.41323,                0.24529,                 1.5865,                 1.2252,                 1.2158,                0.00478,                0.00478,                0.00478
                    118,                  1.452,                 1.0284,                 1.2199,                0.59053,                0.39957,                0.40996,                  0.243,                 1.5947,                 1.2116,                 1.2136,               0.004735,               0.004735,               0.004735
                    119,                 1.4133,                0.99639,                 1.2107,                0.64677,                0.37416,                0.41073,                0.24417,                 1.5583,                  1.213,                 1.2081,                0.00469,                0.00469,                0.00469
                    120,                 1.4182,                0.99648,                 1.2034,                0.67826,                0.37707,                0.41499,                0.25085,                 1.5586,                 1.1741,                 1.2039,               0.004645,               0.004645,               0.004645
                    121,                 1.4607,                 1.0203,                 1.2185,                0.61019,                0.39504,                0.41838,                0.25149,                 1.5838,                 1.1862,                 1.2136,                 0.0046,                 0.0046,                 0.0046
                    122,                 1.4195,                0.99924,                 1.2073,                0.61481,                0.38817,                 0.4119,                0.24613,                 1.5734,                 1.2024,                 1.2142,               0.004555,               0.004555,               0.004555
                    123,                 1.4244,                 1.0062,                 1.2071,                0.61414,                0.37974,                0.40722,                0.24404,                 1.5781,                 1.2183,                 1.2062,                0.00451,                0.00451,                0.00451
                    124,                 1.4274,                  0.994,                 1.1959,                0.67302,                0.39051,                0.41907,                0.25115,                 1.5631,                 1.2139,                 1.2095,               0.004465,               0.004465,               0.004465
                    125,                 1.4503,                  1.021,                 1.2077,                0.61973,                0.40181,                0.42348,                0.25181,                  1.563,                 1.1825,                 1.2082,                0.00442,                0.00442,                0.00442
                    126,                 1.4253,                0.99477,                 1.2124,                0.64963,                0.38122,                0.41797,                0.24866,                  1.565,                 1.1853,                 1.2128,               0.004375,               0.004375,               0.004375
                    127,                 1.4341,                0.99178,                 1.1995,                0.63228,                0.40234,                 0.4235,                0.25189,                 1.5667,                  1.179,                 1.2084,                0.00433,                0.00433,                0.00433
                    128,                  1.462,                 1.0082,                  1.201,                  0.622,                0.39624,                0.41984,                0.25085,                  1.581,                 1.1855,                 1.2076,               0.004285,               0.004285,               0.004285
                    129,                   1.44,                0.97974,                 1.1864,                0.64174,                0.39512,                0.42535,                0.25396,                 1.5681,                 1.2108,                 1.2021,                0.00424,                0.00424,                0.00424
                    130,                 1.4185,                0.98739,                 1.1933,                0.62654,                0.39893,                0.42248,                0.25327,                 1.5562,                 1.1692,                 1.2017,               0.004195,               0.004195,               0.004195
                    131,                 1.4048,                0.96475,                 1.1911,                0.66318,                0.40723,                0.43786,                0.26131,                 1.5513,                 1.1566,                  1.198,                0.00415,                0.00415,                0.00415
                    132,                 1.4295,                0.99279,                 1.1863,                0.61693,                0.40105,                0.42012,                0.24917,                 1.5736,                 1.1832,                 1.2026,               0.004105,               0.004105,               0.004105
                    133,                 1.4097,                0.97745,                 1.1995,                0.69049,                0.39507,                 0.4271,                0.25646,                 1.5577,                 1.1942,                 1.2031,                0.00406,                0.00406,                0.00406
                    134,                 1.4258,                0.98441,                 1.1946,                0.62686,                0.40695,                0.42699,                0.25568,                 1.5595,                 1.1686,                 1.2024,               0.004015,               0.004015,               0.004015
                    135,                 1.4008,                0.98752,                 1.2056,                0.66044,                0.39409,                0.42275,                0.25332,                 1.5759,                 1.1581,                 1.2021,                0.00397,                0.00397,                0.00397
                    136,                 1.4011,                0.97293,                 1.1928,                0.60406,                0.41216,                0.42419,                0.25474,                 1.5486,                 1.1615,                 1.1953,               0.003925,               0.003925,               0.003925
                    137,                 1.4034,                0.97039,                 1.1868,                0.64573,                0.40366,                0.42588,                0.25723,                 1.5576,                 1.1611,                 1.1957,                0.00388,                0.00388,                0.00388
                    138,                 1.3994,                 0.9693,                 1.1892,                0.65402,                0.39939,                0.42356,                0.25316,                 1.5774,                 1.1631,                 1.1987,               0.003835,               0.003835,               0.003835
                    139,                 1.4317,                 0.9705,                 1.1772,                0.63909,                0.39129,                0.41835,                0.24639,                  1.589,                 1.1603,                  1.205,                0.00379,                0.00379,                0.00379
                    140,                 1.4283,                0.97744,                 1.1964,                0.62781,                0.40465,                0.42013,                0.25441,                 1.5586,                 1.1757,                 1.1973,               0.003745,               0.003745,               0.003745
                    141,                 1.3805,                0.94774,                 1.1829,                0.65313,                0.39421,                0.41886,                0.25297,                 1.5623,                 1.1744,                 1.1998,                 0.0037,                 0.0037,                 0.0037
                    142,                 1.3913,                0.97381,                 1.1802,                0.62429,                0.38722,                0.41966,                0.25228,                 1.5653,                 1.1623,                 1.1984,               0.003655,               0.003655,               0.003655
                    143,                 1.3917,                0.95227,                  1.184,                0.61863,                0.40117,                0.42862,                0.25789,                 1.5537,                 1.1557,                 1.1947,                0.00361,                0.00361,                0.00361
                    144,                 1.3873,                0.94285,                 1.1834,                0.63721,                0.41261,                0.43269,                0.26009,                 1.5609,                 1.1568,                 1.1951,               0.003565,               0.003565,               0.003565
                    145,                 1.4037,                0.97055,                 1.1844,                0.64443,                0.39941,                0.42733,                 0.2567,                 1.5655,                 1.1687,                 1.1959,                0.00352,                0.00352,                0.00352
                    146,                   1.38,                 0.9428,                 1.1839,                0.65276,                0.40553,                0.43114,                0.25924,                 1.5497,                 1.1378,                 1.1949,               0.003475,               0.003475,               0.003475
                    147,                 1.3901,                0.94914,                 1.1792,                0.62799,                  0.402,                0.42941,                0.25857,                 1.5671,                  1.157,                  1.202,                0.00343,                0.00343,                0.00343
                    148,                 1.3778,                0.94066,                 1.1704,                0.64405,                0.40035,                 0.4258,                0.25851,                 1.5543,                 1.1551,                 1.1931,               0.003385,               0.003385,               0.003385
                    149,                 1.3783,                0.93687,                 1.1764,                0.62857,                0.40236,                0.42656,                0.25695,                 1.5696,                 1.1831,                 1.1998,                0.00334,                0.00334,                0.00334
                    150,                 1.4011,                0.93753,                 1.1668,                0.71962,                0.38986,                 0.4297,                0.25867,                 1.5646,                  1.184,                  1.195,               0.003295,               0.003295,               0.003295
                    151,                 1.3855,                0.94162,                 1.1691,                0.63589,                0.40808,                0.43364,                0.25948,                 1.5552,                 1.1548,                 1.1923,                0.00325,                0.00325,                0.00325
                    152,                 1.3558,                 0.9147,                 1.1652,                0.65749,                0.40092,                0.42693,                0.25877,                  1.544,                 1.1719,                 1.1877,               0.003205,               0.003205,               0.003205
                    153,                 1.3576,                0.91606,                 1.1764,                0.63824,                0.41151,                0.43204,                0.26294,                 1.5374,                 1.1457,                 1.1853,                0.00316,                0.00316,                0.00316
                    154,                 1.3699,                0.92508,                  1.171,                 0.6617,                0.40802,                0.43426,                0.26137,                 1.5453,                 1.1473,                  1.191,               0.003115,               0.003115,               0.003115
                    155,                 1.3517,                0.91842,                 1.1647,                0.66385,                0.40423,                0.43664,                0.26566,                 1.5365,                 1.1409,                 1.1861,                0.00307,                0.00307,                0.00307
